form,family,distribution,priority,polarity
beschleunigt,Beschleunigung,1,0,0
Anteil,Teil,1,0,0
Folgen,Folge,0,0,0
zugrundegeht,Zugrunde,0,0,1
stattfindet,Stattfinden,0,0,0
gemachte,Machen,0,0,0
befördert,Fördern,1,0,0
führten,Führen,0,0,0
Ursache,Ursache,0,0,0
Folge,Folge,0,0,0
durch,Durch,0,0,0
weil,Weil,0,0,0
treiben,Antreiben,1,0,0
fördert,Fördern,1,0,0
ausgelöst,Auslösen,0,0,0
aufzuhalten,Aufhalten,0,0,1
gegen,Gegen,0,0,1
verhindern,Verhindern,0,0,1
ausgelöste,Auslösen,0,0,0
Kampf,Kampf,0,0,1
beim,Bei,0,0,0
profitieren,Profitieren,1,0,0
verursacht,Ursache,0,0,0
einschränken,Einschränkung,1,0,1
Preis,Preis,0,0,1
gebiert,Gebären,0,0,0
Hauptschuldige,Schuld,0,1,0
Verantwortlich,Verantwortung,0,0,0
vorgeht,Gehen,0,0,0
Teilaspekt,Aspekt,1,0,0
wie,Wie,0,0,0
bestimmen,Bestimmen,0,0,0
stoppen,Stoppen,0,0,1
Ausdruck,Ausdruck,0,0,0
Freibrief,Freibrief,0,0,0
verantwortlich,Verantwortung,0,0,0
löst,Auslösen,0,0,0
Grund,Grund,0,0,0
Hauptursache,Ursache,0,1,0
Trendwende,Wende,0,0,1
Anpassungen,Anpassung,0,0,1
Falls,Falls,0,0,0
aufgehalten,Aufhalten,0,0,1
bedrohen,Bedrohen,0,1,1
bremst,Bremsen,1,0,1
beigetragen,Beitrag,1,0,0
Schlüsselstellung,Stellung,0,1,0
Verursacherbereich,Ursache,0,0,0
findet,Finden,0,0,0
bremsen,Bremsen,1,0,1
führt,Führen,0,0,0
stemmt,Stemmen,1,0,1
Maßnahmen,Maßnahme,0,0,0
entgegenwirken,Entgegenwirken,0,0,1
bekämpfen,Kampf,0,0,1
beschleunigen,Beschleunigung,1,0,0
ist,Sein,0,0,0
Fakten,Fakt,0,0,0
bedroht,Bedrohen,0,0,1
